date,DToPcpn,DAvSol,DAvTAir,DMxTAir,DMnTAir,DAvRHum,DAvWind
1985-12-04,0.0,43.32,-4.69,-2.58,-8.52,93.07,2.79
1985-12-05,0.0,36.43,-4.93,-2.97,-12.2,95.41,4.34
1985-12-06,0.0,71.0,-10.36,-0.4,-16.6,91.31,2.08
1985-12-07,0.0,74.6,-5.09,0.37,-13.6,93.46,2.8
1985-12-08,0.0,49.35,-8.15,-3.16,-14.2,96.25,1.88
1985-12-09,0.0,43.5,-2.6,0.71,-6.87,96.5,2.2
1985-12-10,0.0,42.2,-0.87,1.4,-4.21,95.6,4.18
1985-12-11,0.0,38.4,-6.98,-4.21,-16.1,92.73,4.61
1985-12-12,0.0,83.2,-16.46,-9.42,-22.1,86.0,2.51
1985-12-13,0.0,74.0,-20.85,-17.0,-25.6,76.92,3.99
1985-12-14,0.0,79.1,-18.87,-8.11,-26.3,74.99,4.26
1985-12-15,0.0,82.3,-10.01,-5.53,-15.2,79.48,4.21
1985-12-16,0.0,72.5,-15.08,-11.8,-22.0,78.51,4.27
1985-12-17,0.0,83.0,-19.92,-15.8,-24.5,73.84,4.98
1985-12-18,0.0,81.9,-20.36,-14.6,-25.8,68.72,4.36
1985-12-19,0.0,82.6,-22.19,-13.0,-29.9,74.39,1.48
1985-12-20,0.0,79.6,-18.85,-10.5,-30.0,79.89,2.74
1985-12-21,0.0,76.8,-17.39,-10.9,-27.8,81.69,3.16
1985-12-22,0.0,43.69,-2.03,1.9,-10.9,93.62,5.19
1985-12-23,0.0,34.01,-2.52,1.48,-11.6,94.8,5.46
1985-12-24,0.0,81.8,-19.04,-11.6,-24.0,74.97,6.66
1985-12-25,0.0,80.0,-22.45,-18.2,-26.8,76.6,4.28
1985-12-26,0.0,54.94,-10.27,-2.66,-19.5,92.81,6.29
1985-12-27,0.0,76.9,-13.21,-9.33,-18.5,78.24,6.2
1985-12-28,0.0,77.8,-14.31,-8.8,-21.4,83.3,4.15
1985-12-29,0.0,83.7,-12.17,-7.83,-15.0,78.39,4.72
1985-12-30,0.0,58.62,-7.84,0.86,-19.1,86.96,4.66
1985-12-31,0.0,82.4,-8.63,-0.51,-16.7,77.88,5.77
1986-01-01,0.0,55.69,-10.1,-5.8,-15.3,86.15,1.77
1986-01-02,0.0,39.65,-6.28,-0.9,-14.5,96.66,3.75
1986-01-03,0.0,55.35,-5.31,-1.47,-6.99,94.72,3.83
1986-01-04,0.0,49.64,-4.86,-2.31,-8.31,96.03,5.32
1986-01-05,0.0,83.4,-11.02,-6.47,-17.2,82.3,5.0
1986-01-06,0.0,86.4,-17.57,-9.79,-26.0,70.23,4.87
1986-01-07,0.0,89.1,-23.96,-15.2,-31.6,72.75,2.63
1986-01-08,0.0,76.6,-18.81,-10.2,-30.7,73.63,3.58
1986-01-09,0.0,81.1,-3.42,1.25,-10.2,74.34,5.33
1986-01-10,0.0,88.2,-2.13,1.02,-6.55,88.85,4.04
